volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
265090;Banda Api;Caldera;Indonesia;Indonesia;Banda Sea;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Dacite;quite alot
261230;Dempo;Stratovolcano(es);Indonesia;Indonesia;Sumatra;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
241100;Ruapehu;Stratovolcano;New Zealand;New Zealand to Fiji;New Zealand;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
241080;Tongariro;Stratovolcano(es);New Zealand;New Zealand to Fiji;New Zealand;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
241030;Taranaki;Stratovolcano;New Zealand;New Zealand to Fiji;New Zealand;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357130;Mocho-Choshuenco;Stratovolcano(es);Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357112;Caburgua-Huelemolle;Pyroclastic cone(s);Chile;South America;Central Chile and Argentina;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;quite alot
357121;Quetrupillan;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;few
357122;Lanin;Stratovolcano;Chile-Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachyandesite / Basaltic Trachyandesite;few
357123;Huanquihue Group;Stratovolcano(es);Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;few
357120;Villarrica;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;few
241061;Maroa;Caldera(s);New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;few
241060;Reporoa;Caldera;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;quite alot
241050;Okataina;Lava dome(s);New Zealand;New Zealand to Fiji;New Zealand;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Rhyolite;few
357093;Tolhuaca;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite;few
357111;Sollipulli;Caldera;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;quite alot
357100;Lonquimay;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357110;Llaima;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;few
241040;Whakaari/White Island;Stratovolcano(es);New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
241021;Mayor Island;Shield;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;few
259010;Newer Volcanics Province;Shield(s);Australia;Melanesia and Australia;Australia;medium;Intraplate / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;alot
357080;Antuco;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;few
357091;Callaqui;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357090;Copahue;Stratovolcano;Chile-Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Trachybasalt / Tephrite Basanite;few
357072;Tromen;Stratovolcano(es);Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
386010;Tristan da Cunha;Shield;United Kingdom;Atlantic Ocean;Atlantic Ocean (southern);high;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Trachybasalt / Tephrite Basanite;few
241020;Auckland Volcanic Field;Volcanic field;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;alot
357070;Chillan, Nevados de;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357061;Maule, Laguna del;Caldera;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;quite alot
357066;Payun Matru;Shield;Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;none
241140;Healy;Submarine;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Oceanic crust (< 15 km);Eruption Dated;Dacite;none
241130;Rumble III;Submarine;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;none
241010;Kaikohe-Bay of Islands;Volcanic field;New Zealand;New Zealand to Fiji;New Zealand;low;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;alot
357050;Descabezado Grande;Stratovolcano(es);Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357060;Azul, Cerro;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;few
357040;Planchon-Peteroa;Stratovolcano(es);Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357041;Infiernillo;Volcanic field;Argentina;South America;Central Chile and Argentina;high;Intraplate / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;few
357030;Tinguiririca;Stratovolcano;Chile;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357021;Maipo;Caldera;Chile-Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Trachyandesite / Basaltic Trachyandesite;quite alot
357020;San Jose;Stratovolcano(es);Chile-Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
357010;Tupungatito;Stratovolcano;Chile-Argentina;South America;Central Chile and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
242021;Macauley;Caldera;New Zealand;New Zealand to Fiji;Kermadec Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;none
222160;Meru;Stratovolcano;Tanzania;Africa and Red Sea;Africa (eastern);high;Rift zone / Continental crust (>25 km);Eruption Observed;Phonolite;none
261220;Kaba;Stratovolcano;Indonesia;Indonesia;Sumatra;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
242030;Raoul Island;Stratovolcano;New Zealand;New Zealand to Fiji;Kermadec Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;none
355130;Ojos del Salado, Nevados;Stratovolcano;Chile-Argentina;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;none
355210;Blanco, Cerro;Caldera;Argentina;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;few
355100;Lascar;Stratovolcano(es);Chile;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;none
258010;Matthew Island;Stratovolcano;France;Melanesia and Australia;Pacific Ocean (southwestern);low;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite;few
233020;Fournaise, Piton de la;Shield;France;Middle East and Indian Ocean;Indian Ocean (western);high;Intraplate / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;alot
355070;San Pedro-San Pablo;Stratovolcano(es);Chile;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;none
222130;Chyulu Hills;Volcanic field;Kenya;Africa and Red Sea;Africa (eastern);high;Rift zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;alot
222120;Lengai, Ol Doinyo;Stratovolcano;Tanzania;Africa and Red Sea;Africa (eastern);high;Rift zone / Continental crust (>25 km);Eruption Observed;Foidite;few
250010;St. Andrew Strait;Complex;Papua New Guinea;Melanesia and Australia;Admiralty Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Rhyolite;few
261180;Sumbing;Stratovolcano;Indonesia;Indonesia;Sumatra;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
352090;Sangay;Stratovolcano;Ecuador;South America;Ecuador;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
